id,name,address,lat,lon,location,people,table,outlet,meeting_room,smoking_room,meeting,time,url
0,경영관 B1F 연결통로,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,1,3,1,0,0,0,월06:00~24:00 화06:00~24:00 수06:00~24:00 목06:00~24:00 금06:00~24:00 토06:00~24:00 일06:00~24:00,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
1,경영관 B1F 연결통로,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,3,2,2,0,0,0,월06:00~24:00 화06:00~24:00 수06:00~24:00 목06:00~24:00 금06:00~24:00 토06:00~24:00 일06:00~24:00,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
2,경영관 B1F 대학원 라운지,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,1,2,1,0,0,1,월06:00~24:00 화06:00~24:00 수06:00~24:00 목06:00~24:00 금06:00~24:00 토06:00~24:00 일06:00~24:00,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
3,경영관 B1F 학부열람실A,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,1,3,1,0,0,1,월06:00~24:00 화06:00~24:00 수06:00~24:00 목06:00~24:00 금06:00~24:00 토06:00~24:00 일06:00~24:00,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
4,경영관 B1F 학부열람실B,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,1,2,1,0,0,1,월06:00~24:00 화06:00~24:00 수06:00~24:00 목06:00~24:00 금06:00~24:00 토06:00~24:00 일06:00~24:00,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
5,경영관 B1F 학부열람실 옆,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,2,1,2,0,0,0,월06:00~24:00 화06:00~24:00 수06:00~24:00 목06:00~24:00 금06:00~24:00 토06:00~24:00 일06:00~24:00,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
6,경영관 B1F 학부열람실 앞,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,3,2,1,0,0,0,월06:00~24:00 화06:00~24:00 수06:00~24:00 목06:00~24:00 금06:00~24:00 토06:00~24:00 일06:00~24:00,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
7,경영관 1F 성균갤러리 앞,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,2,1,0,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
8,경영관 1F 성균갤러리 앞,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,1,3,0,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
9,경영관 1F 리크루팅부스,서울특별시 종로구 명륜3가동 53 성균관대학교 경영관,37.5884546,126.992678,교내 라운지,2,2,2,1,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
